address,city,lat,long,name,province
830 W Bannock St,Boise,43.61771105,-116.2028826,"10 Barrel Brewing, 10 Barrel Brewing Co.",ID
1022 Texan Trl,Grapevine,32.938385,-97.06434,10 Gallon Tours,TX
3090 Shirley Dr,Jackson,42.28601,-84.43126,127 Brewing,MI
41 Lower Newton St,Stalbans,44.810713,-73.083558,14th Star Brewing Co Llc,VT
133 N Main St,Saint Albans,44.81492,-73.08224,14th Star Brewing Company,VT
1585 State Hwy No 73,Pennsauken,39.984676,-75.020563,1585 Pennsauken Llc,NJ
413 S Bedford St,Georgetown,38.677997,-75.37889,16 Mile Brewing Co,DE
189 Main St,E Aurora,42.76759051,-78.62781861,189 Public House,NY
2045 N Forbes Blvd,Tucson,32.246559999999995,-110.99348,1912 Brewing Co.,AZ
4025 S Mason,Fort Collins,40.53153378,-105.0799763,1933 Brewing Company,CO
1401 19th St,Parkersburg,39.27462,-81.541837,19th St Country Club,WV
80 Columbia St,Bangor,44.800108,-68.772778,2 Feet Brewing Co.,ME
10 W 3rd St,Wilmington,39.73976,-75.551963,2 Fish,DE
1252 23RD Saint Suite110,Salem,44.923203,-123.014404,2 Sparky's Taphouse,OR
18 W Main St,Beacon,41.5083391,-73.9809796,2 Way Brewing Company,NY
209 Trade St,Danville,36.585827,-79.42132600000001,2 Witches Winery Brewing Company,VA
218 W 7th Ave,Tarentum,40.599534000000006,-79.762338,218 Bar,PA
2010 Williams St,San Leandro,37.7118073,-122.1776581,21st Amendment Brewery,CA
3512 Clinton Pkwy,Lawrence,38.94301121,-95.281204,"23rd Street Brewery, 23rd St. Brewery",KS
300 Crystal Cir,Lompoc,34.662044,-120.45488200000001,246 Wine & Brew Tours,CA
2637 W Girard Ave,Philadelphia,39.974243,-75.17988199999999,2637brew,PA
8680 Miralani Dr,San Diego,32.895989,-117.13766399999999,2kids Brewing Co,CA
101 Cedar Creek Rd,Newhaven,38.543523,-91.181287,2nd Shift Brewing Co,MO
219 N 2nd St,Girardville,40.793206,-76.283674,2nd St Pub,PA
117 Chestnut St,Philadelphia,39.948436,-75.143434,2nd Story Brewing Co,PA
233 N Water St,Milwaukee,43.033001,-87.909401,2nd Street Brewery Milwaukee,WI
120 Concord Rd,Aston,39.85585112,-75.40415014,2sp Brewing Co.,PA
1116 16th St W,Billings,45.7816429,-108.55749229999999,3 Brothers Bistro At The Alpine,MT
222 22nd St S,Saint Petersburg,27.76905736,-82.66262993,3 Daughters Brewery,FL
426 S Massachusetts St,Seattle,47.588478,-122.3281,3 Howls Distillery,WA
1327 Huron Ave,Sheboygan,43.75947972,-87.7216719,3 Sheeps Brewing Company,WI
6400 Chillum Pl N W,Washington,38.96758422,-77.01254728,3 Stars Brewing Company,DC
8655 Production Ave,San Diego,32.8827827,-117.16485149999998,32 North Brewing Co.,CA
3200 W Allegheny Ave,Philadelphia,40.005188000000004,-75.18190200000001,32nd Street Pub,PA
2514 S W 34th Ave,Amarillo,35.178496,-101.864166,34th Street Discount,TX
6511 Glenridge Park Pl 1,Louisville,38.285751,-85.62943,3rd Turn Brewing,KY
8855 W 116th Cir,Broomfield,39.90648251,-105.0984737,4 Noses Brewing Company,CO
411 E Surrey Ct,Sellersville,40.356213000000004,-75.295456,411 Brewery,PA
2729 Us Highway 411 S,Maryville,35.712579999999996,-84.02364,411 Discount Tobacco and Beer,TN
1570 Madison Ave,New Richmond,45.103436,-92.54965,45th Parallel Spirits,WI
4629 Yakima Ave,Tacoma,47.21402838,-122.443448,48th Street Pub,WA
77 Th St,Gresham,45.500504,-122.429975,4th Street Brewing (reported Closed),OR
11517 Arcola Rd,Arcola,39.68111,-88.31483,5 B's Inc,IN
1000 Marietta St N W,Atlanta,33.77887534,-84.41019058,5 Seasons Brewing,GA
5600 Roswell Rd (at The Prado),Sandy Springs,33.90807025,-84.38065049,5 Seasons Brewing Co,GA
3655 Old Milton Pkwy,Alpharetta,34.063801,-84.25326,"5 Seasons Brewing Llc, 5 Seasons Brewing",GA
1253 Hedgesville Rd,Martinsburg,39.505717,-77.968626,5 Spot 2,WV
4717 Shepherdstown Rd,Martinsburg,39.449445000000004,-77.875856,5 Spot 3,WV
51 N Broadway,Lake Orion,42.785294,-83.24021,51 North Brewery,MI
51 N Broadway St,Lake Orion,42.785073,-83.239874,51 North Brewing Company,MI
3801 S Truman Rd,Washougal,45.56466465,-122.3271628,"54°40' Brewing Co., 54��40' Brewing Co.",WA
1310 W Washington St,Greenville,43.177384,-85.27292299999999,57 Brew Pub & Bistro,MI
67 N Main St,Brockport,43.218973,-77.937638,585rochesterbeer,NY
3901 N Williams Ave,Portland,45.55091371,-122.6670152,5th Quadrant,OR
500 Beecher St,Louisville,38.191778,-85.768474,5th Street Corner Pub Iii,KY
