address,city,lat,long,name,province,websites,phones,id
830 W Bannock St,Boise,43.61771105,-116.2028826,"10 Barrel Brewing, 10 Barrel Brewing Co.",ID,10barrel.com,"(208) 344-5870, 2083445870, 2.08344587E9",1
1022 Texan Trl,Grapevine,32.938385,-97.06434,10 Gallon Tours,TX,http://www.10gallontours.com/,"18174031832, 817 403-1832",2
3090 Shirley Dr,Jackson,42.28601,-84.43126,127 Brewing,MI,https://www.facebook.com/127brewing,5172581346,3
41 Lower Newton St,Stalbans,44.810713,-73.083558,14th Star Brewing Co Llc,VT,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJdtBPmjhoOaHDsU-0LcO-T-Lf7_WgD6LkfUNE1OkVBwPKZe-GOYJEpu1EgoGV7mjCVl97TXDSPYJhN86T7rvHofPldKHnyycKUYzSIsbCxwKjgcx0NTZ7iknMpalxWtsy1uM2iXLbDNBD3AxJmV22bH6qjh8g4fW8xcznYr7MOuTfuC3JEQNQE6kQhip6vCX-uBf4tVhWhIvrt13SdpzCGZigGknx-HCS7h9TMk1LRL1_vA1rRo3VjlsWyB1WS1XLtkTsQx0Fx0ygw_PwH2-fKgYN76ZvkndHMHeZ2_ovwRu5JRK9TDZW6TGdtHRrKzBdAscqv-2irPzW5q43-1vXzlBf6oYGJRYmzvVNkSx8b-xG1g3CKttr9Q&placement=listing_profile&cs_user=unknown&cs_session=a895e033d7e5f31fc734ef981fb0a0d57ce2742b,8023931459,4
133 N Main St,Saint Albans,44.81492,-73.08224,14th Star Brewing Company,VT,,8025285988,5
1585 State Hwy No 73,Pennsauken,39.984676,-75.020563,1585 Pennsauken Llc,NJ,,8566655178,6
413 S Bedford St,Georgetown,38.677997,-75.37889,16 Mile Brewing Co,DE,16milebrewery.com,,7
189 Main St,E Aurora,42.76759051,-78.62781861,189 Public House,NY,http://www.oneeightynine.com,"7196528189, 7166528189",8
2045 N Forbes Blvd,Tucson,32.246559999999995,-110.99348,1912 Brewing Co.,AZ,,15202564851,9
4025 S Mason,Fort Collins,40.53153378,-105.0799763,1933 Brewing Company,CO,http://1933brewing.com,9703774107,10
1401 19th St,Parkersburg,39.27462,-81.541837,19th St Country Club,WV,,3044246336,11
80 Columbia St,Bangor,44.800108,-68.772778,2 Feet Brewing Co.,ME,,,12
10 W 3rd St,Wilmington,39.73976,-75.551963,2 Fish,DE,http://www.2fish.com,3024253939,13
1252 23RD Saint Suite110,Salem,44.923203,-123.014404,2 Sparky's Taphouse,OR,,5039319417,14
18 W Main St,Beacon,41.5083391,-73.9809796,2 Way Brewing Company,NY,http://www.2waybrewingcompany.com,8452027334,15
209 Trade St,Danville,36.585827,-79.42132600000001,2 Witches Winery Brewing Company,VA,http://www.2witcheswinebrew.com,4345492739,16
218 W 7th Ave,Tarentum,40.599534000000006,-79.762338,218 Bar,PA,,7242247008,17
2010 Williams St,San Leandro,37.7118073,-122.1776581,21st Amendment Brewery,CA,http://21st-amendment.com,5105952111,18
3512 Clinton Pkwy,Lawrence,38.94301121,-95.281204,"23rd Street Brewery, 23rd St. Brewery",KS,brew23.com,"7858562337, (785) 856-2337",19
300 Crystal Cir,Lompoc,34.662044,-120.45488200000001,246 Wine & Brew Tours,CA,,,20
2637 W Girard Ave,Philadelphia,39.974243,-75.17988199999999,2637brew,PA,,,21
8680 Miralani Dr,San Diego,32.895989,-117.13766399999999,2kids Brewing Co,CA,,,22
101 Cedar Creek Rd,Newhaven,38.543523,-91.181287,2nd Shift Brewing Co,MO,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJa9jItXEN9sSJ4QKKOJ8dVtSd21O5rexAhYFd4rwJpP2VkE4VZ9q4uYjhfI-3YoiG8soUk4L8vdqSZ7c9B3hCKi-huVwvyYlBqL-KNT8cpfIsr7EAnshq73ANL88Uh6AOyH0S3IFCgkLYszFur_rsDjorYZ8E9WNBYBC1huFeesmcPy6MkQMnr5XwXz42RYMIcXzBb7SnjYtpX8O6tO2BSZHs3N84ZXklNKPjnoP0tZcC-ogUD3HSbsZjE7N1kNYsRSVZkKRmb76SrBQEdkVZ65lyH8OwqVzGog98_Qj8eYmyQ_IBjg9nTqw1pS1vdZTIVq2l_IzenlGf45XAJCxMgc_BrR-Xk-ucaRIC8qeIx6H1eD7cK63Q7w&placement=listing_profile&cs_user=unknown&cs_session=7dd9a1187a44398eba4758e24a0914e9c86f3542,5732373421,23
219 N 2nd St,Girardville,40.793206,-76.283674,2nd St Pub,PA,,5702766567,24
117 Chestnut St,Philadelphia,39.948436,-75.143434,2nd Story Brewing Co,PA,,,25
233 N Water St,Milwaukee,43.033001,-87.909401,2nd Street Brewery Milwaukee,WI,,4142762337,26
120 Concord Rd,Aston,39.85585112,-75.40415014,2sp Brewing Co.,PA,,,27
1116 16th St W,Billings,45.7816429,-108.55749229999999,3 Brothers Bistro At The Alpine,MT,,4062598877,28
222 22nd St S,Saint Petersburg,27.76905736,-82.66262993,3 Daughters Brewery,FL,3dbrewing.com,7274956002,29
426 S Massachusetts St,Seattle,47.588478,-122.3281,3 Howls Distillery,WA,3howls.com,"2067478400, 12067478400",30
1327 Huron Ave,Sheboygan,43.75947972,-87.7216719,3 Sheeps Brewing Company,WI,3sheepsbrewing.com,"9207836240, 9203953583",31
6400 Chillum Pl N W,Washington,38.96758422,-77.01254728,3 Stars Brewing Company,DC,http://www.threestarsbrewing.com,2026700333,32
8655 Production Ave,San Diego,32.8827827,-117.16485149999998,32 North Brewing Co.,CA,http://www.32NorthBrew.com,,33
3200 W Allegheny Ave,Philadelphia,40.005188000000004,-75.18190200000001,32nd Street Pub,PA,,2152256270,34
2514 S W 34th Ave,Amarillo,35.178496,-101.864166,34th Street Discount,TX,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ9Obm2-kGdXceWY3dpek4pjG7inYyCW3EkfV2Qi4ABA4TFTm0plDglai0o3yS8bx9m6zAEXnz9Y1kdY2Jdt0zUVoLwFokUFKZp3UG7E0Vqvy-h107BnzK5p1JrnhZkZUOxvhN_TQGrRVheVKVnn11JPm9-iPb8vec3CQ2g-iqp1FeZJGsX0uP-suTDFQ_4uEYHT_1fKwplKIoX9OQHEyrWvtePnt_lvWtNNp-QSKqV6r-qXxveCZUgLb5D4qnGi0To3JKI_qX3B8m6k34TZ1TwJXLRlYQr6WnlXr3z2kbl61bOiJLMDpklR0MAYBPuvB_A8c8EPrReFdDT8MTVgQITWqlptflSSMcpAAtNi27IPo&placement=listing_profile&cs_user=unknown&cs_session=2c5590c4e05e18cbacda7fa0bfe67dbcaa4befa6,8063524900,35
6511 Glenridge Park Pl 1,Louisville,38.285751,-85.62943,3rd Turn Brewing,KY,,5024752127,36
8855 W 116th Cir,Broomfield,39.90648251,-105.0984737,4 Noses Brewing Company,CO,http://4nosesbrewing.com,7204602797,37
411 E Surrey Ct,Sellersville,40.356213000000004,-75.295456,411 Brewery,PA,,,38
2729 Us Highway 411 S,Maryville,35.712579999999996,-84.02364,411 Discount Tobacco and Beer,TN,,8659840730,39
1570 Madison Ave,New Richmond,45.103436,-92.54965,45th Parallel Spirits,WI,,7152460565,40
4629 Yakima Ave,Tacoma,47.21402838,-122.443448,48th Street Pub,WA,,2534733602,41
77 Th St,Gresham,45.500504,-122.429975,4th Street Brewing (reported Closed),OR,,5036696411,42
11517 Arcola Rd,Arcola,39.68111,-88.31483,5 B's Inc,IN,,2606254444,43
1000 Marietta St N W,Atlanta,33.77887534,-84.41019058,5 Seasons Brewing,GA,http://5seasons.info,4048753232,44
5600 Roswell Rd (at The Prado),Sandy Springs,33.90807025,-84.38065049,5 Seasons Brewing Co,GA,http://www.5seasonsbrewing.com/5/,4042555911,45
3655 Old Milton Pkwy,Alpharetta,34.063801,-84.25326,"5 Seasons Brewing Llc, 5 Seasons Brewing",GA,http://5seasonsbrewing.com,7705215551,46
1253 Hedgesville Rd,Martinsburg,39.505717,-77.968626,5 Spot 2,WV,,3042642034,47
4717 Shepherdstown Rd,Martinsburg,39.449445000000004,-77.875856,5 Spot 3,WV,,3042628181,48
51 N Broadway,Lake Orion,42.785294,-83.24021,51 North Brewery,MI,,2486907367,49
51 N Broadway St,Lake Orion,42.785073,-83.239874,51 North Brewing Company,MI,http://www.51northbrewing.com,2486907367,50
3801 S Truman Rd,Washougal,45.56466465,-122.3271628,"54°40' Brewing Co., 54��40' Brewing Co.",WA,54-40brewing.com,3608445932,51
1310 W Washington St,Greenville,43.177384,-85.27292299999999,57 Brew Pub & Bistro,MI,http://57brewpub.com,6167126226,52
67 N Main St,Brockport,43.218973,-77.937638,585rochesterbeer,NY,,,53
3901 N Williams Ave,Portland,45.55091371,-122.6670152,5th Quadrant,OR,http://www.lompocbrewing.com,5032883996,54
